name;description;unit_price;unit;tax_name
1141480130;"GEL RELAXANTE PARA OS PES E PERNAS 130 G - SANTO PE
";8.94;unit;
1071080350;HIDRATANTE CORPORAL BUQUE DE PEONIAS 350 ML;30.65;unit;
7,89989E+12;HIDRATANTE CORPORAL COCO & ROMA 200 G - SENSORE (TESTE);4.39;unit;
1071529402;"HIDRATANTE CORPORAL MURU MURU & PATAUA 35 ML (CX C/ 120 UND)
";172.81;service;
1070190350;HIDRATANTE CORPORAL TERRA MADRE 350 ML;30.65;unit;
2071660100;HIDRATANTE FACIAL 100 G - BISNAGA - MEL TERAPIA;11.38;unit;
1071660100;"HIDRATANTE FACIAL 100 G - MEL TERAPIA
";19.11;unit;
1071640250;HIDRATANTE PARA MAOS FIGO E PISTACHE 250 ML - SABOR & AR;11.79;unit;
1071620250;HIDRATANTE PARA MAOS FOLHAS DE PIMENTA 250 ML - SABOR & AR;11.79;unit;
1071680250;HIDRATANTE PARA MAOS GENGIBRE E ROMA 250 ML - SABOR & AR;11.79;unit;
1121349079;INCENSO LEMONGRASS (CX. 12 UNID.) - RITOS;8.13;unit;
1120629079;INCENSO MURU MURU (CX. 12 UNID.) - RITOS;8.13;unit;
1120749079;INCENSO YLANG YLANG (CX. 12 UNID.) - RITOS;8.13;unit;
1121339079;INCENSO ZIMBRO (CX. 12 UNID.) - RITOS;8.13;unit;
1050689421;KIT AUTOCUIDADO AMORA SILVESTRE - SERIE 1;6.18;unit;
1051369305;KIT AUTOCUIDADO CUPUACU;5.28;unit;
1051369421;KIT AUTOCUIDADO CUPUACU - SERIE 1;6.18;unit;
1050739305;KIT AUTOCUIDADO MANGA VERDE;5.28;unit;
1050739421;KIT AUTOCUIDADO MANGA VERDE - SERIE 1;6.18;unit;
1051559252;KIT BANHO DE BEM ESTAR - COPAIBA & ANDIROBA;23.01;unit;
1051039137;KIT BANHO DE BEM ESTAR - CUPUACU E CASTANHA DO BRASIL;23.01;unit;
1050019329;KIT BANHO DE LAVANDA DIA DIA;8.13;unit;
1050789329;KIT BANHO MARINA DIA DIA;8.13;unit;
1050799329;KIT BANHO TAPAJOS DIA DIA;8.13;unit;
1051119378;KIT BONISSIMO - MASCULINO;23.58;unit;
1051609379;KIT BONISSIMO BLACK 2 - MASCULINO;23.58;unit;
1010009272;KIT CINTA MEL TERAPIA (PCT COM 10 UNID.);20.00;unit;
1011779272;KIT CINTA OLIVA TERAPIA (PCT COM 10 UNID.);20.00;unit;
1050019310;KIT DIA DIA LAVANDA;10.16;unit;
1050789310;KIT DIA DIA MARINA;10.16;unit;
1050799310;KIT DIA DIA TAPAJOS;10.16;unit;
1050009130;"KIT EMULSAO SUAVIZANTE PARA AS MAOS
";11.79;unit;
1010009441;KIT MARCENARIA;162.60;unit;
1050009387;"KIT MINI AGUAS NATURAIS
";34.55;unit;
1051509309;KIT MINI GIGI;14.63;unit;
1051529352;"KIT MURU MURU & PATAUA
";14.63;unit;
1051499380;KIT SELETO 2 - MASCULINO;24.80;unit;
1010009440;KIT SERRALHERIA;73.17;unit;
1071100201;LOCAO HIDRATANTE CORPORAL & VERBENA BAMBU 200 ML;7.24;unit;
1071780130;LOCAO HIDRATANTE SELETO OCEAN 130 ML;5.69;unit;
1071109363;"LOCAO HIDRATANTE VERBENA & BAMBU 35 ML (CX C/ 120 UND)
";172.81;service;
1071300140;"MASCARA FACIAL BRANCA 140 G
";9.51;unit;
1071910140;"MASCARA FACIAL PRETA 140 G
";9.51;unit;
1071320140;"MASCARA FACIAL VERDE 140 G
";9.51;unit;
1010009014;MASSAGEADOR MADEIRA P 14 X 7 X 7 CM;7.32;unit;
1010009452;MODULO SLIM 70X80X40;86.75;unit;
2071669271;MOUSSE DE LIMPEZA 100 G - BISNAGA - MEL TERAPIA;10.57;unit;
1071669271;"MOUSSE DE LIMPEZA 100 G - MEL TERAPIA
";17.89;unit;
1010009333;NECESSAIRE BEGE AVATIM G;22.76;unit;
