loja;codigo;descricao;familia;subfam;unidade;iva;datacriacao;retalho;fundo;letra;vendersemstock;precovenda;codbarras;iva2
2;1021050500;PERFUME PARA INTERIORES AMORA & PITANGA 500ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;10.08;7898464625715;23.0
2;1021070040;PERFUME PARA INTERIORES BAMBU 40 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.10;7899891308813;23.0
2;1021070201;PERFUME PARA INTERIORES BAMBU 200 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.45;7899891308820;23.0
2;1021071101;PERFUME PARA INTERIORES BAMBU 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;39.02;7899891308837;23.0
2;1021080150;PERFUME PARA INTERIORES BUQUE DE PEONIAS 150 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;25.20;7898464626392;23.0
2;1021290090;PERFUME PARA INTERIORES AVADORE 90 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;22.76;7898464625906;23.0
2;1021620250;PERFUME PARA INTERIORES FOLHAS DE PIMENTA 250ML - SABOR & AR;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.38;7899891305775;23.0
2;1021640250;PERFUME PARA INTERIORES FIGO E PISTACHE 250 ML - SABOR & AR;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.38;7899891305744;23.0
2;1021680250;PERFUME PARA INTERIORES GENGIBRE E ROMA 250 ML - SABOR & AR;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.38;7899891305713;23.0
2;1030021100;AGUA PERFUMADA PARA ROUPAS CASCAS & FOLHAS 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.85;7898464622028;23.0
2;1030231100;AGUA PERFUMADA PARA ROUPAS PITANGA 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.85;7898464622257;23.0
2;1030251100;AGUA PERFUMADA PARA ROUPAS MARRUA 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.85;7898464620451;23.0
2;1030491100;AGUA PERFUMADA PARA ROUPAS FLOR DE ALGODAO 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.85;7898464622080;23.0
2;1030551100;AGUA PERFUMADA PARA ROUPAS ALECRIM 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.85;7898464620444;23.0
2;1030581100;AGUA PERFUMADA PARA ROUPAS AMBAR 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.85;7898464621991;23.0
2;1030641100;AGUA PERFUMADA PARA ROUPAS PROVENCE 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.85;7898464622264;23.0
2;1030801000;AGUA PERFUMADA PARA ROUPAS ALECRIM & CAPIM LIMAO 1000 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;7.64;7898464620345;23.0
2;1031041000;AGUA PERFUMADA PARA ROUPAS LAVANDA & AMBAR 1000 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;7.64;7898464625777;23.0
2;1031051000;AGUA PERFUMADA PARA ROUPAS AMORA & PITANGA 1000 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;7.64;7898464625739;23.0
2;1031071100;AGUA PERFUMADA PARA ROUPAS BAMBU 1100 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;15.85;7898464621960;23.0
2;1040000150;FRASCO CRISTAL PARA DIFUSOR AVATIM 150 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;7.32;7899891305331;23.0
2;1040000151;FRASCO VERDE PARA DIFUSOR AVATIM 150 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;8.13;7899891306949;23.0
2;1040000152;FRASCO AMBAR PARA DIFUSOR AVATIM 150 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;8.13;7899891306970;23.0
2;1040000250;FRASCO CRISTAL PARA DIFUSOR AVATIM 250 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;13.82;7899891305287;23.0
2;1040000251;FRASCO VERDE PARA DIFUSOR AVATIM 250 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;12.20;7899891306956;23.0
2;1040000252;FRASCO AMBAR PARA DIFUSOR AVATIM 250 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;12.20;7899891306987;23.0
2;1040000500;FRASCO CRISTAL PARA DIFUSOR AVATIM 500 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;12.20;7899891305386;23.0
2;1040000501;FRASCO VERDE PARA DIFUSOR AVATIM 500 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;13.82;7899891306963;23.0
2;1040000502;FRASCO AMBAR PARA DIFUSOR AVATIM 500 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;13.82;7899891306994;23.0
2;1040009028;VARETAS DE BAMBU (CARACOL);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;4.88;7898464629348;23.0
2;1040009031;VARETAS PALITO;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;4.07;7898464629683;23.0
2;1040009032;VARETAS ROSA LILAS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;7.48;7898464629690;23.0
2;1040009098;DIFUSOR AQUECIDO A VELA;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;32.11;7899891305393;23.0
2;1040009132;VARETAS MINI FLORES BRANCAS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;13.01;7898464624329;23.0
2;1040009133;VARETAS MINI FLORES LILAS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;13.01;7898464624336;23.0
2;1040009134;VARETAS MINI FLORES LARANJAS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;13.01;7898464624343;23.0
2;1040009135;VARETAS MINI FLORES ROSAS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;13.01;7898464624350;23.0
2;1040009136;VARETAS ESCURAS M (PCT COM 12 UND);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.99;7899891300794;23.0
2;1040009144;VARETAS AVADORE;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;17.56;7899891300787;23.0
2;1040009314;VARETAS RATTAN M (PCT COM 12 UNID);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.99;7899891305300;23.0
2;1040009369;VARETAS MARROM M (PCT COM 12 UND);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.99;7899891307007;23.0
2;1040009370;VARETAS MARROM G (PCT COM 8 UND);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;8.94;7899891307014;23.0
